derived_type_va	base_type_va	derived	base
0x1405d7418	0x1405d73b8	CPlLady	CPlayer
0x1405d7438	0x1405d73b8	CPlNewVergil	CPlayer
0x1405d7460	0x1405d5430	CPlayerWeapon	CActor
0x1405d7488	0x1405d7460	CPlWp2Sword	CPlayerWeapon
0x1405d74b0	0x1405d7460	CPlWpFight	CPlayerWeapon
0x1405d74d8	0x1405d7460	CPlWpFoeceEdge	CPlayerWeapon
0x1405d7500	0x1405d7460	CPlWpGuitar	CPlayerWeapon
0x1405d7528	0x1405d5410	CString	CWork
0x1405d7548	0x1405d7460	CPlWpGun	CPlayerWeapon
0x1405d7568	0x1405d7460	CPlWpLadyGun	CPlayerWeapon
0x1405d7590	0x1405d7460	CPlWpLaser	CPlayerWeapon
0x1405d75b8	0x1405d7460	CPlWpNeroSword	CPlayerWeapon
0x1405d75e0	0x1405d7460	CPlWpNewVergilSword	CPlayerWeapon
0x1405d7610	0x1405d7460	CPlWpNunchaku	CPlayerWeapon
0x1405d7638	0x1405d7460	CPlWpRifle	CPlayerWeapon
0x1405d7660	0x1405d7460	CPlWpShotGun	CPlayerWeapon
0x1405d7688	0x1405d7460	CPlWpSword	CPlayerWeapon
0x1405d76b0	0x1405d7460	CPlWpVergilSword	CPlayerWeapon
0x1405d76d8	0x1405d5410	CEffectBase	CWork
0x1405d7700	0x1405d76d8	CParticle	CEffectBase
0x1405d7720	0x1405d7700	CRealParticle	CParticle
0x1405d7748	0x1405d7700	CFakeParticle	CParticle
0x1405d7770	0x1405d7720	CPtclLine00	CRealParticle
0x1405d7798	0x1405d7748	CFPtclLine00	CFakeParticle
0x1405d77c0	0x1405d7720	CPtclLine01	CRealParticle
0x1405d77e8	0x1405d7748	CFPtclLine01	CFakeParticle
0x1405d7810	0x1405d7720	CPtclLine02	CRealParticle
0x1405d7838	0x1405d7748	CFPtclLine02	CFakeParticle
0x1405d7860	0x1405d7720	CPtclPoly00	CRealParticle
0x1405d7888	0x1405d7748	CFPtclPoly00	CFakeParticle
0x1405d78b0	0x1405d7720	CPtclPoly01	CRealParticle
0x1405d78d8	0x1405d7748	CFPtclPoly01	CFakeParticle
0x1405d7900	0x1405d7720	CPtclSprt00	CRealParticle
0x1405d7928	0x1405d7748	CFPtclSprt00	CFakeParticle
0x1405d7970	0x1405d54c8	CSceneMgrGame	CSceneMgr
0x1405d7a00	0x1405d61f0	SLoadOneGame	CChainNode
0x1405d7a50	0x1405d7950	CSceneBoot	CScene
0x1405d7a78	0x1405d7950	CSceneOpening	CScene
0x1405d7aa0	0x1405d7950	CSceneStartMenu	CScene
0x1405d7ac8	0x1405d7af0	CEventMission	CEventMissionLight
0x1405d7b40	0x1405d7950	CSceneMisSelect	CScene
0x1405d7b68	0x1405d7950	CSceneGameMain	CScene
0x1405d7b90	0x1405d7950	CSceneGame	CScene
0x1405d7bb8	0x1405d55a8	CCameraPlayer	CCamera
0x1405d7be0	0x1405d7bb8	CCameraBoss	CCameraPlayer
0x1405d7c08	0x1405d55a8	CCameraCtrl	CCamera
0x1405d7c30	0x1405d55a8	CCameraMiniDemo	CCamera
0x1405d7c58	0x1405d7950	CSceneDemo	CScene
0x1405d7c80	0x1405d7950	CSceneMisStart	CScene
0x1405d7cd0	0x1405d7950	CSceneResult	CScene
0x1405d7cf8	0x1405d7950	CSceneEnding	CScene
0x1405d7d20	0x1405d59d8	CDrawBreak	CDraw
0x1405d7d48	0x1405d5410	CScrnBreak	CWork
0x1405d7d70	0x1405d5410	CStaffRoll	CWork
0x1405d7d98	0x1405d5410	CStage	CWork
0x1405d7db8	0x1405d5430	CStageSetBingo	CActor
0x1405d7db8	0x1405d6d20	CStageSetBingo	CStageSet
0x1405d7de0	0x1405d5430	CStageSetBreak	CActor
0x1405d7de0	0x1405d6d20	CStageSetBreak	CStageSet
0x1405d7e08	0x1405d5430	CStageSetShl00	CActor
0x1405d7e30	0x1405d5430	CStageSetBrocken	CActor
0x1405d7e30	0x1405d6d20	CStageSetBrocken	CStageSet
0x1405d7e58	0x1405d5430	CStageSetCatapult	CActor
0x1405d7e58	0x1405d6d20	CStageSetCatapult	CStageSet
0x1405d7e80	0x1405d5430	CStageSetCollision	CActor
0x1405d7e80	0x1405d6d20	CStageSetCollision	CStageSet
0x1405d7eb0	0x1405d5410	CStageSetColor	CWork
0x1405d7eb0	0x1405d6d20	CStageSetColor	CStageSet
0x1405d7ed8	0x1405d5430	CStageSetCombo	CActor
0x1405d7ed8	0x1405d6d20	CStageSetCombo	CStageSet
0x1405d7f00	0x1405d5430	CStageSetCrystal	CActor
0x1405d7f00	0x1405d6d20	CStageSetCrystal	CStageSet
0x1405d7f28	0x1405d5430	CStageSetEye	CActor
0x1405d7f28	0x1405d6d20	CStageSetEye	CStageSet
0x1405d7f50	0x1405d5430	CStageSetFence	CActor
0x1405d7f50	0x1405d6d20	CStageSetFence	CStageSet
0x1405d7f78	0x1405d5430	CStageSetGate	CActor
0x1405d7f78	0x1405d6d20	CStageSetGate	CStageSet
0x1405d7fa0	0x1405d5430	CStageSetGearArch	CActor
0x1405d7fa0	0x1405d6d20	CStageSetGearArch	CStageSet
0x1405d7fc8	0x1405d5430	CStageSetHang	CActor
0x1405d7fc8	0x1405d6d20	CStageSetHang	CStageSet
0x1405d7ff0	0x1405d5430	CStageSetHang2	CActor
0x1405d7ff0	0x1405d6d20	CStageSetHang2	CStageSet
0x1405d8018	0x1405d5bd0	CStageSetHeart	CNonPlayer
0x1405d8018	0x1405d6d20	CStageSetHeart	CStageSet
0x1405d8040	0x1405d5430	CStageSetLift	CActor
0x1405d8040	0x1405d6d20	CStageSetLift	CStageSet
0x1405d8068	0x1405d5410	CStageSetLight	CWork
0x1405d8068	0x1405d6d20	CStageSetLight	CStageSet
0x1405d8090	0x1405d5bd0	CStageSetLungs	CNonPlayer
0x1405d8090	0x1405d6d20	CStageSetLungs	CStageSet
0x1405d80b8	0x1405d5430	CStageSetMirror	CActor
0x1405d80b8	0x1405d6d20	CStageSetMirror	CStageSet
0x1405d80e0	0x1405d5bd0	CStageSetNausika	CNonPlayer
0x1405d80e0	0x1405d6d20	CStageSetNausika	CStageSet
0x1405d8108	0x1405d5430	CStageSetNeedle	CActor
0x1405d8108	0x1405d6d20	CStageSetNeedle	CStageSet
0x1405d8130	0x1405d5430	CStageSetORBreak	CActor
0x1405d8130	0x1405d6d20	CStageSetORBreak	CStageSet
0x1405d8158	0x1405d5430	CStageSetRoad	CActor
0x1405d8158	0x1405d6d20	CStageSetRoad	CStageSet
0x1405d8180	0x1405d5410	CStageSetSe	CWork
0x1405d8180	0x1405d6d20	CStageSetSe	CStageSet
0x1405d81a8	0x1405d5430	CStageSetSeal	CActor
0x1405d81a8	0x1405d6d20	CStageSetSeal	CStageSet
0x1405d81d0	0x1405d5430	CStageSetSlide	CActor
0x1405d81d0	0x1405d6d20	CStageSetSlide	CStageSet
0x1405d81f8	0x1405d5430	CStageSetStayDemo	CActor
0x1405d81f8	0x1405d6d20	CStageSetStayDemo	CStageSet
0x1405d8220	0x1405d81f8	CStageSetStay	CStageSetStayDemo
0x1405d8248	0x1405d5430	CStageSetStomach	CActor
0x1405d8248	0x1405d6d20	CStageSetStomach	CStageSet
0x1405d8270	0x1405d5430	CStageSetSwitch	CActor
0x1405d8270	0x1405d6d20	CStageSetSwitch	CStageSet
0x1405d8298	0x1405d5430	CStageSetTruck	CActor
0x1405d8298	0x1405d6d20	CStageSetTruck	CStageSet
0x1405d82c0	0x1405d5430	CStageSetTruckEnemy	CActor
0x1405d82f0	0x1405d5410	CStageSetYure	CWork
0x1405d82f0	0x1405d6d20	CStageSetYure	CStageSet
0x1405d8338	0x1405d5410	CUIDBright	CWork
0x1405d8360	0x1405d5410	CUIDCockpit00	CWork
0x1405d8388	0x1405d5410	CUIDCockpit01	CWork
0x1405d83b0	0x1405d5410	CUIDCockpit02	CWork
0x1405d83d8	0x1405d5410	CUIDComnBg	CWork
0x1405d8400	0x1405d5410	CUIDControl	CWork
0x1405d8428	0x1405d5410	CUIDCustomGun	CWork
0x1405d8450	0x1405d5410	CUIDCustomGunV	CWork
0x1405d8478	0x1405d5410	CUIDCustomIndex	CWork
0x1405d84a0	0x1405d5410	CUIDCustomItem	CWork
0x1405d84c8	0x1405d5410	CUIDCustomSkill	CWork
0x1405d84f0	0x1405d5410	CUIDCustomWeapon	CWork
0x1405d8518	0x1405d5410	CUIDDemoDigest	CWork
0x1405d8540	0x1405d5410	CUIDExtraInfo	CWork
0x1405d8568	0x1405d5410	CUIDGallery	CWork
0x1405d8590	0x1405d5410	CUIDGameOptions	CWork
0x1405d85b8	0x1405d5410	CUIDGoldOrb	CWork
0x1405d85e0	0x1405d5410	CUIDItemGet	CWork
0x1405d8608	0x1405d5410	CUIDLanguage	CWork
0x1405d8630	0x1405d5410	CUIDLockOnCursor	CWork
0x1405d8658	0x1405d5410	CUIDMemoryCard	CWork
0x1405d8680	0x1405d5410	CUIDMisSelect	CWork
0x1405d86a8	0x1405d5410	CUIDMissionStart	CWork
0x1405d86d0	0x1405d5410	CUIDOption	CWork
0x1405d86f8	0x1405d5410	CUIDPause	CWork
0x1405d8718	0x1405d5410	CUIDResult	CWork
0x1405d8740	0x1405d5410	CUIDResultBP	CWork
0x1405d8768	0x1405d5410	CUIDSaveBg	CWork
0x1405d8790	0x1405d5410	CUIDScreen	CWork
0x1405d87b8	0x1405d5410	CUIDSmorkBg	CWork
0x1405d87e0	0x1405d5410	CUIDStaffRoll	CWork
0x1405d8808	0x1405d5410	CUIDStatusFile	CWork
0x1405d8830	0x1405d5410	CUIDStatusFileIpu	CWork
0x1405d8858	0x1405d5410	CUIDStatusFileSec	CWork
0x1405d8880	0x1405d5410	CUIDStatusIndex	CWork
0x1405d88a8	0x1405d5410	CUIDStatusItem	CWork
0x1405d88d0	0x1405d5410	CUIDStatusMap	CWork
0x1405d88f8	0x1405d5410	CUIDStatusWeapon	CWork
0x1405d8920	0x1405d5410	CUIDStyleLvup	CWork
0x1405d8948	0x1405d5410	CUIDStyleSelect	CWork
0x1405d8970	0x1405d5410	CUIDStyleSelectV	CWork
0x1405d8998	0x1405d5410	CUIDStylishCombo	CWork
0x1405d89c0	0x1405d5410	CUIDTitle	CWork
0x1405d89e0	0x1405d5410	CUIDTotalRanking	CWork
0x1405d8a08	0x1405d5410	CUIDTutorial	CWork
0x1405d8a30	0x1405d5410	CUIDVergilWeapon	CWork
0x1405d8a58	0x1405d55a8	CCameraMotion	CCamera
0x1405d8a80	0x1405d5410	CDemoModelWork	CWork
0x1405d8aa8	0x1405d76d8	CEffect	CEffectBase
0x1405d8af0	0x1405d8ac8	CFadeControl	IFadeControl
0x1405d8b18	0x1405d76d8	CGenerator	CEffectBase
0x1405d8b40	0x1405d5990	CMotion	CDrawOperate
0x1405d8b88	0x1405d8b60	CPtxManager	IPtxManager
0x1405d8bd0	0x1405d8bb0	CSoundClip	CClip
0x1405d8bf8	0x1405d8bb0	CWorkRateClip	CClip
0x1405d8c20	0x1405d8bb0	CModelClip	CClip
0x1405d8c48	0x1405d8bb0	CMotionClip	CClip
0x1405d8c70	0x1405d8bb0	CHideClip	CClip
0x1405d8c90	0x1405d8bb0	CProgramClip	CClip
0x1405d8cb8	0x1405d8bb0	CMessageClip	CClip
0x1405d8ce0	0x1405d8bb0	CPadVibeClip	CClip
0x1405d8d08	0x1405d8bb0	CEffectClip	CClip
0x1405d8d30	0x1405d8bb0	CCameraClip	CClip
0x1405d8d58	0x1405d8bb0	CLightClip	CClip
0x1405d8d80	0x1405d8bb0	CScrEfcClip	CClip
0x1405d8da8	0x1405d8bb0	CFadeClip	CClip
0x1405d8dc8	0x1405d76d8	CValue	CEffectBase
0x1405d8e28	0x1405d8e50	.?AVbad_alloc@std@@	.?AVexception@std@@
0x1405d8e78	0x1405d8e28	.?AVbad_array_new_length@std@@	.?AVbad_alloc@std@@
